date,title,original_link,subhead,author,source,pic_list,body
27/03/2019,Con gái chưởng môn Vịnh Xuân dốc sức vai chính đầu tiên,https://nld.com.vn/van-nghe/con-gai-chuong-mon-vinh-xuan-doc-suc-vai-chinh-dau-tien-20190327122220255.htm,"##  (NLĐO) - Katleen Phan Võ - con gái võ sư Nam Anh, chưởng môn phái Vịnh
Xuân - đảm nhận vai nữ chính đầu tiên trong phim ""Lật mặt: Nhà có khách"".

","Minh Khuê

",,https://nld.mediacdn.vn/thumb_w/684/2019/3/27/img0396-1553663895633723560850.jpg|Con gái chưởng môn Vịnh Xuân dốc sức vai chính đầu tiên - Ảnh 1.&&https://nld.mediacdn.vn/thumb_w/684/2019/3/27/dsc3484-15536638956211816743617.jpg|Con gái chưởng môn Vịnh Xuân dốc sức vai chính đầu tiên - Ảnh 2.&&https://nld.mediacdn.vn/thumb_w/684/2019/3/27/dsc3041-15536638956172131834394.jpg|Con gái chưởng môn Vịnh Xuân dốc sức vai chính đầu tiên - Ảnh 3.&&https://nld.mediacdn.vn/thumb_w/684/2019/3/27/dsc04735-1553663895627431138772-1553676369026723276774.png|Con gái chưởng môn Vịnh Xuân dốc sức vai chính đầu tiên - Ảnh 4.,"Katleen Phan Võ quyết tâm theo đuổi sự nghiệp diễn xuất ngay khi từ Canada trở
về Việt Nam năm 2018. Cha cô là võ sư Nam Anh, còn mẹ là Hoa hậu Điện ảnh 1992
Thanh Xuân.

Ngay khi về nước, cô bắt tay thực hiện giấc mơ bằng việc tham gia vai phụ
trong phim ""Ông ngoại tuổi 30"" rồi phim sit-com (hài tình huống) ""Ngôi sao
khoai tây""... Tuy diễn xuất còn gượng gạo, Katleen Phan Võ không bỏ cuộc mà
kiên trì, nỗ lực học tập qua từng vai phụ.

![Con gái chưởng môn Vịnh Xuân dốc sức vai chính đầu tiên - Ảnh
1.](https://nld.mediacdn.vn/thumb_w/684/2019/3/27/img0396-1553663895633723560850.jpg)

Katleen Phan Võ

Là con nhà võ, Katleen Phan Võ có thêm lợi thế về khoản ""đánh đấm"". Cô khao
khát trở thành ""đả nữ"" mới nối tiếp Ngô Thanh Vân và tiết lộ nếu có cơ hội
cũng muốn tìm đến đàn chị nhờ hỗ trợ.

Vai Vy trong phim ""Lật mặt: Nhà có khách"" là vai chính đầu tiên trong sự
nghiệp của Katleen Phan Võ.

""Nhân vật Vy trong phim mà Kat đảm nhận là một vai diễn rất nhiều cảm xúc nên
khi nhận được kịch bản từ anh Lý Hải, Kat đã rất lo mình không thể hiện đủ
tính cách hoặc là tâm trạng của nhân vật. Nhưng khi lên phim trường, Kat nhận
ra ở mình và Vy có những điểm tương đồng nên diễn xuất rất thoải mái"" -
Katleen Phan Võ thổ lộ.

Trong một phân cảnh buộc phải cùng với Jay Quân, Huy Khánh, Hoàng Mèo và Mạc
Văn Khoa quay ở dưới sông, mọi người đều biết bơi còn cô thì không. Trong khi
đó, nhân vật Vy phải nhảy xuống để cứu các bạn. Mặc dù được trang bị thiết bị
bảo hộ và có người hỗ trợ bên dưới nhưng Kat vẫn cảm thấy rất hoảng sợ.

Trước vai diễn, đạo diễn Lý Hải đã động viên tinh thần các diễn viên cố gắng
chỉ thực hiện cảnh quay trong một lần vì khi đã nhảy xuống thì tóc và quần áo
đều bị ướt nên sẽ phải đợi khá lâu để có thể thực hiện lại. Lúc đó, Kat cảm
thấy mình không còn thời gian để sợ hãi nữa mà chỉ chuyên tâm dồn hết sức thực
hiện cảnh quay thực hiện một lần duy nhất.

![Con gái chưởng môn Vịnh Xuân dốc sức vai chính đầu tiên - Ảnh
2.](https://nld.mediacdn.vn/thumb_w/684/2019/3/27/dsc3484-15536638956211816743617.jpg)

Cô nỗ lực vai nữ chính đầu tiên

![Con gái chưởng môn Vịnh Xuân dốc sức vai chính đầu tiên - Ảnh
3.](https://nld.mediacdn.vn/thumb_w/684/2019/3/27/dsc3041-15536638956172131834394.jpg)

Katleen Phan Võ trong cảnh dầm mưa

Một tình huống mà nữ diễn viên trẻ này đối mặt là phải tắm mình dưới mưa hàng
giờ liền trong tình cảnh vừa bị trúng thực. ""Khi quay dưới trời lạnh, cơ thể
Kat cứ run lên liên tục, hai hàm răng va vào nhau lập cập. Nhờ sự hỗ trợ của
các anh chị trong đoàn phim, Kat mới vượt qua được. Mọi người biết Kat đang
bệnh nên những lúc đạo diễn hô ngừng quay là lập tức chạy tới quàng khăn cho
mình ấm lại"" - Katleen Phan Võ cho biết.

![Con gái chưởng môn Vịnh Xuân dốc sức vai chính đầu tiên - Ảnh
4.](https://nld.mediacdn.vn/thumb_w/684/2019/3/27/dsc04735-1553663895627431138772-1553676369026723276774.png)

Cô có thế mạnh võ thuật

Minh Khuê

[

Chia sẻ

](javascript:;)

[ ![](https://nld.mediacdn.vn/web_images/icon-print-3.png)
](/Print.aspx?NewsID=20190327122220255 ""Print"")

"
15/03/2019,Facebook công bố nguyên nhân sự cố sập mạng,https://nld.com.vn/cong-nghe/facebook-cong-bo-nguyen-nhan-su-co-sap-mang-20190315073124105.htm,"##  (NLĐO) – Facebook vừa công bố nguyên nhân chính dẫn đến việc hàng loạt
dịch vụ của mạng xã hội này gặp trục trặc trong 2 ngày 13 và 14-3.

","Chánh Trung

",,https://nld.mediacdn.vn/thumb_w/684/2019/3/15/2019-03-15070707-15526095714301776275905.jpg|Facebook công bố nguyên nhân sự cố sập mạng - Ảnh 1.,"![Facebook công bố nguyên nhân sự cố sập mạng - Ảnh
1.](https://nld.mediacdn.vn/thumb_w/684/2019/3/15/2019-03-15070707-15526095714301776275905.jpg)

Các báo cáo sự cố của Facebook trên trang Downdetector đã giảm bớt từ tối ngày
14-3. Ảnh: Chánh Trung

Trong 2 ngày 13 và 14-3, các dịch vụ như [Facebook](https://nld.com.vn/chan-
facebook.html ""chặn facebook ""), [Instagram](https://nld.com.vn/instagram.html
""instagram""), [Facebook](https://nld.com.vn/ban-hang-qua-facebook.html ""bán
hàng qua facebook "") [Messenger](https://nld.com.vn/messenger.html
""messenger""), [WhatApps](https://nld.com.vn/whatapps.html ""whatapps"") của
[Facebook](https://nld.com.vn/chay-quang-cao-facebook.html ""chạy quảng cáo
facebook "") gặp trục trặc khiến nhiều người dùng, doanh nghiệp bị ảnh hưởng
trên phạm vi rộng. Về sự cố này, [Facebook](https://nld.com.vn/bi-add-nick-
facebook.html ""bị add nick facebook "") ngày 15-3 cho biết nguyên nhân của vụ
việc là do liên quan đến các vấn đề kỹ thuật.  

Theo đó, Facebook cho hay: ""Hôm qua, do thay đổi cấu hình máy chủ, nhiều người
đã gặp sự cố khi truy cập các ứng dụng và dịch vụ của chúng tôi. Bây giờ chúng
tôi đã giải quyết các vấn đề và hệ thống của chúng tôi đang phục hồi. Chúng
tôi rất xin lỗi vì sự bất tiện này và cảm ơn sự kiên nhẫn của mọi người"".

Trước đó, trong ngày 14-3, Facebook cũng khẳng định nguyên nhân của các sự cố
xảy ra không liên quan đến tin tặc sau khi có các ""tin đồn"" Facebook đang bị
[hacker](https://nld.com.vn/hacker.html ""hacker"") tấn công từ chối dịch vụ
([DDoS](https://nld.com.vn/ddos.html ""ddos"")) với cường độ mạnh khiến nhiều
dịch vụ đồng loạt gặp sự cố.

Trong 2 ngày qua, đã có hàng chục ngàn lượt người dùng báo cáo các sự cố liên
quan đến các sản phẩm dịch vụ của Facebook trên trang chuyên theo dõi các sự
cố mạng Downdetector. Theo ghi nhận trên trang Downdetector, đến sáng ngày
15-3, các báo cáo sự cố đã giảm bớt, chỉ còn vài báo cáo sự cố nhỏ. Nhiều
người dùng tại Việt Nam cũng cho hay đã sử dụng lại bình thường các dịch vụ
như Facebook [Messenger](https://nld.com.vn/chat-messenger.html ""chat
Messenger ""), [Instagram](https://nld.com.vn/mang-xa-hoi-instagram.html ""mạng
xã hội instagram "")…

Các sự cố liên tục diễn ra với Facebook trong 2 ngày qua đã khiến nhiều người
dùng bị ảnh hưởng, trong đó nhiều người lo sợ bị hack thông tin cá nhân là
nhiều nhất. Bên cạnh đó, các doanh nghiệp, người bán hàng trên Facebook cũng
bị ảnh hưởng không nhỏ khi không thể chạy các quảng cáo có trả phí, liên hệ,
trả lời khách hàng…

Chánh Trung

[

Chia sẻ

](javascript:;)

[ ![](https://nld.mediacdn.vn/web_images/icon-print-3.png)
](/Print.aspx?NewsID=20190315073124105 ""Print"")

"
