date,title,original_link,subhead,author,source,pic_list,body
09/12/2018,Chủ tịch QH: Chương trình thực nghiệm gì mà mấy chục năm rồi vẫn thực nghiệm,https://nld.com.vn/giao-duc-khoa-hoc/chu-tich-qh-chuong-trinh-thuc-nghiem-gi-ma-may-chuc-nam-roi-van-thuc-nghiem-20180912150435594.htm,"##  (NLĐO)- Chủ tịch Quốc hội Nguyễn Thị Kim Ngân ngày 12-9 bày bỏ băn khoăn
khi chương trình thực nghiệm kéo dài nhiều năm, hết chương trình này thực
nghiệm đến chương trình kia thí điểm làm khổ học sinh.

","Minh Chiến

",,https://nld.mediacdn.vn/thumb_w/684/2018/9/12/nguyen-thi-kim-ngan-1536739292040692855924.jpg|Chủ tịch QH: Chương trình thực nghiệm gì mà mấy chục năm rồi vẫn thực nghiệm - Ảnh 1.,"Ngày 12-9, thảo luận tại phiên họp thứ 27 của Ủy ban Thường vụ Quốc hội (QH)
về dự án Luật Giáo dục (sửa đổi), Chủ tịch QH Nguyễn Thị Kim Ngân đã chỉ ra
nhiều bất cập của công tác giáo dục thời gian qua, trong đó bà băn khoăn về
việc liên tục thí điểm, **[thực nghiệm](https://nld.com.vn/thuc-nghiem.html
""thực nghiệm"")** nhưng kết quả không như mong muốn.

Chủ tịch QH cho rằng trẻ em học sinh bây giờ học rất khổ sở và dẫn chứng việc
bây giờ học sinh không còn nghỉ hè, khác với trước đây được nghỉ hè 3 tháng
trọn vẹn. ""Bây giờ không có hè, không có tuổi thơ, không có vui chơi. Cải cách
đổi mới toàn diện nhưng phải có tính ổn định, thống nhất, đồng bộ. Thực nghiệm
gì mấy chục năm vẫn còn thực nghiệm. Hết chương trình này thí điểm, chương
trình kia thực nghiệm, học sinh khổ lắm""- Chủ tịch QH nói.

![Chủ tịch QH: Chương trình thực nghiệm gì mà mấy chục năm rồi vẫn thực nghiệm
- Ảnh 1.](https://nld.mediacdn.vn/thumb_w/684/2018/9/12/nguyen-thi-kim-
ngan-1536739292040692855924.jpg)

Chủ tịch QH Nguyễn Thị Kim Ngân cho rằng chương trình học hiện nay quá nặng nề
trong khi cách truyền đạt kiến thức lại quá cao siêu, hàn lâm

Chủ tịch QH Nguyễn Thị Kim Ngân cũng dẫn chứng về một người bạn của bà làm
việc trong ngành giáo dục nói rằng chương trình học hiện nay nặng nề, làm cho
học sinh khó tiếp thu kiến thức mà đặt ra nhiều nội dung quá cao siêu, quá hàn
lâm. ""Thực nghiệm đổi mới hiện nay nhiều quá mà không biết kinh nghiệm ở đâu,
làm khổ học sinh""- bà Ngân băn khoăn.

Bên cạnh đó, Chủ tịch QH cũng khẳng định không thể có sách giáo khoa tự chọn
được, không thể trường này tôi muốn học cái này, trường khác thì học cái khác.
""Tỉnh nào có sách của tỉnh đó thì nền giáo dục như vậy không được"" - bà Ngân
nhấn mạnh.  

Đồng quan điểm, Phó Chủ tịch QH Đỗ Bá Tỵ cho rằng không thể có kiểu làm sách
giáo khoa mà mỗi trường một kiểu sách, một kiểu học. Như thế, theo ông Tỵ, có
khả năng làm phát sinh tiêu cực lớn mà chương trình giáo dục sẽ không tổng
thể, không toàn diện. Ông Tỵ quả quyết rằng nhất thiết phải thống nhất một
loại sách giáo khoa.

Ông Đỗ Bá Tỵ cũng chỉ ra giáo dục hiện đang gây áp lực quá lớn cho trẻ nhỏ,
cho gia đình. Cần nghiên cứu giảm tải ngay các môn học trong chương trình giáo
dục phổ thông, những môn học mang tính chất hàn lâm nên đưa ra khỏi chương
trình.

""Tôi gặp nhiều học sinh nước ngoài, các cháu tự tin nói các cháu học ít nhưng
hiểu biết nhiều, không như học sinh ở Việt Nam. Giáo dục của chúng ta đang
mang tính chất nhồi nhét kiến thức, nhìn bọn trẻ học mà thương, tí tuổi đầu đã
cận thị hết cả, không giảm tải thì rất gay mà tôi thấy là việc đó hoàn toàn có
thể làm được"" - Phó Chủ tịch QH nói.

Minh Chiến

[

Chia sẻ

](javascript:;)

[ ![](https://nld.mediacdn.vn/web_images/icon-print-3.png)
](/Print.aspx?NewsID=20180912150435594 ""Print"")

"
09/07/2018,Nhiều người đẹp mặc hở táo bạo trên thảm đỏ,https://nld.com.vn/van-nghe/nhieu-nguoi-dep-mac-ho-tao-bao-tren-tham-do-20180907135659035.htm,"##  (NLĐO) - Nhiều người đẹp chọn kiểu trang phục nhiều đường cắt xẻ táo bạo
hoặc xuyên thấu khoe da bước trên thảm đỏ Liên hoan phim Venice và một số giải
thưởng gần đây.

","M.Khuê (Theo Daily Mail, GQ, Reuters)

",,https://nld.mediacdn.vn/thumb_w/684/2018/9/7/4fa5393800000578-6124503-image-a-601535928380888-15363022631881586486567.jpg|Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh 1.&&https://nld.mediacdn.vn/thumb_w/684/2018/9/7/4fa4676400000578-6124503-image-a-921535916477066-15363022631821459195083.jpg|Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh 2.&&https://nld.mediacdn.vn/thumb_w/684/2018/9/7/4fa4645e00000578-6124503-image-a-951535916490286-15363022631721922059863.jpg|Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh 3.&&https://nld.mediacdn.vn/thumb_w/684/2018/9/7/4fa4643100000578-6124503-image-a-861535916431286-15363022631762010440825.jpg|Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh 4.&&https://nld.mediacdn.vn/thumb_w/684/2018/9/7/dmcyqlrwwae2ltw-1-15363022632171711176175.jpg|Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh 5.&&https://nld.mediacdn.vn/thumb_w/684/2018/9/7/vdd-15363026946662037644583.jpg|Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh 6.&&https://nld.mediacdn.vn/thumb_w/684/2018/9/7/2018-venice-film-festival-red-carpet-4-15363022632081604706244.jpg|Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh 7.&&https://nld.mediacdn.vn/thumb_w/684/2018/9/7/2018-venice-film-festival-red-carpet-5-153630226321055331531.jpg|Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh 8.&&https://nld.mediacdn.vn/thumb_w/684/2018/9/7/4fcfe78600000578-6141473-stompshestompedtheredcarpetinasetofmetallicsilverhig-a-5261536289942494-15363022632031605705368.jpg|Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh 9.&&https://nld.mediacdn.vn/thumb_w/684/2018/9/7/4fce4eb500000578-6141473-hertonedandtannedarmswereonfulldisplayasthesartorial-a-5191536289942120-1536302263198135711702.jpg|Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh 10.&&https://nld.mediacdn.vn/thumb_w/684/2018/9/7/4fce4e7b00000578-6141473-impressivedaringtoimpressthe32yearoldrussianbeautyshow-a-5171536289942069-15363022631921084907273.jpg|Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh 11.&&https://nld.mediacdn.vn/thumb_w/684/2018/9/7/kate-beckinsale-1-1536201007600x0-1-1536302263220945026065.jpg|Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh 12.&&https://nld.mediacdn.vn/thumb_w/684/2018/9/7/gq-man-of-year-7-15363022632181160750679.jpg|Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh 13.&&https://nld.mediacdn.vn/thumb_w/684/2018/9/7/abbey-clancy-1-1536201195600x0-15363022632141799374465.jpg|Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh 14.&&https://nld.mediacdn.vn/thumb_w/684/2018/9/7/rita-ora-1-1536201009600x0-1536302263228932233077.jpg|Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh 15.&&https://nld.mediacdn.vn/thumb_w/684/2018/9/7/katherine-ryan-1536201008600x0-1536303241331748984302.jpg|Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh 16.,"Một số người đẹp khoe được vẻ đẹp cuốn hút của mình trong những trang phục này
nhưng một số khác lại quá đà dẫn đến kém duyên trong mắt người hâm mộ.

![Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh
1.](https://nld.mediacdn.vn/thumb_w/684/2018/9/7/4fa5393800000578-6124503-image-a-601535928380888-15363022631881586486567.jpg)

Bruna Marquezine nỗ lực giữ đầm khi bước xuống ca-nô di chuyển đến thảm đỏ

![Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh
2.](https://nld.mediacdn.vn/thumb_w/684/2018/9/7/4fa4676400000578-6124503-image-a-921535916477066-15363022631821459195083.jpg)

Cô ra mắt phim ""The Sisters Brothers"" tại Liên hoan phim Venice lần thứ 75

![Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh
3.](https://nld.mediacdn.vn/thumb_w/684/2018/9/7/4fa4645e00000578-6124503-image-a-951535916490286-15363022631721922059863.jpg)

Bruna Marquezine chọn đầm xẻ cao hết cỡ

![Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh
4.](https://nld.mediacdn.vn/thumb_w/684/2018/9/7/4fa4643100000578-6124503-image-a-861535916431286-15363022631762010440825.jpg)

![Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh
5.](https://nld.mediacdn.vn/thumb_w/684/2018/9/7/dmcyqlrwwae2ltw-1-15363022632171711176175.jpg)

Madisin Rian trên thảm đỏ ""A Star Is Born"" thuộc khuôn khổ Venice lần thứ 75

![Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh
6.](https://nld.mediacdn.vn/thumb_w/684/2018/9/7/vdd-15363026946662037644583.jpg)

Barbara Palvin duyên dáng trên thảm đỏ Venice lần thứ 75, Cô chọn đầm ngắn
khoe chân thon

![Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh
7.](https://nld.mediacdn.vn/thumb_w/684/2018/9/7/2018-venice-film-festival-
red-carpet-4-15363022632081604706244.jpg)

Lali Esposito khoe trọn lưng trần tại Venice lần thứ 75

![Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh
8.](https://nld.mediacdn.vn/thumb_w/684/2018/9/7/2018-venice-film-festival-
red-carpet-5-153630226321055331531.jpg)

![Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh
9.](https://nld.mediacdn.vn/thumb_w/684/2018/9/7/4fcfe78600000578-6141473-stompshestompedtheredcarpetinasetofmetallicsilverhig-a-5261536289942494-15363022632031605705368.jpg)

Gigi Hadid trên thảm đỏ lễ trao giải về thời trang ở New York - Mỹ

![Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh
10.](https://nld.mediacdn.vn/thumb_w/684/2018/9/7/4fce4eb500000578-6141473-hertonedandtannedarmswereonfulldisplayasthesartorial-a-5191536289942120-1536302263198135711702.jpg)

Siêu mẫu Irina Shayk cũng thoải mái không kém với trang phục cắt xẻ táo bạo

![Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh
11.](https://nld.mediacdn.vn/thumb_w/684/2018/9/7/4fce4e7b00000578-6141473-impressivedaringtoimpressthe32yearoldrussianbeautyshow-a-5171536289942069-15363022631921084907273.jpg)

![Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh
12.](https://nld.mediacdn.vn/thumb_w/684/2018/9/7/kate-
beckinsale-1-1536201007600x0-1-1536302263220945026065.jpg)

Mặc mà như không, Kate Beckinsale gây sốc ở lễ trao giải GQ Men Of The Year
tại London - Anh

![Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh
13.](https://nld.mediacdn.vn/thumb_w/684/2018/9/7/gq-man-of-
year-7-15363022632181160750679.jpg)

![Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh
14.](https://nld.mediacdn.vn/thumb_w/684/2018/9/7/abbey-
clancy-1-1536201195600x0-15363022632141799374465.jpg)

Abbey Clancy với đầm xuyên thấu

![Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh
15.](https://nld.mediacdn.vn/thumb_w/684/2018/9/7/rita-
ora-1-1536201009600x0-1536302263228932233077.jpg)

Rita Ora

![Nhiều người đẹp mặc hở táo bạo trên thảm đỏ - Ảnh
16.](https://nld.mediacdn.vn/thumb_w/684/2018/9/7/katherine-
ryan-1536201008600x0-1536303241331748984302.jpg)

Katherine Ryan

M.Khuê (Theo Daily Mail, GQ, Reuters)

[

Chia sẻ

](javascript:;)

[ ![](https://nld.mediacdn.vn/web_images/icon-print-3.png)
](/Print.aspx?NewsID=20180907135659035 ""Print"")

"
