date,title,original_link,subhead,author,source,pic_list,body
28/02/2020,"Taylor Swift gây tranh cãi khi cải trang nam nhi, ""cà khịa"" đàn ông",https://nld.com.vn/van-nghe/taylor-swift-gay-tranh-cai-khi-cai-trang-nam-nhi-ca-khia-dan-ong-20200228113004791.htm,"##  (NLĐO) - Nữ ca sĩ Taylor Swift gây kinh ngạc khi hóa thành một người đàn
ông trong video ca nhạc ""The man"" của mình. Tuy nhiên, cô bị không ít chỉ
trích rằng hành vi đó ""cà khịa"" mọi người.

","Minh Khuê (Theo Daily Mail)

",,"https://nld.mediacdn.vn/thumb_w/684/2020/2/28/25274814-8051427-image-a-521582815051831-15828639110011504403093.jpg|Taylor Swift gây tranh cãi khi cải trang nam nhi, cà khịa đàn ông - Ảnh 1.&&https://nld.mediacdn.vn/thumb_w/684/2020/2/28/728b2460-taylor-swift-fi-website-1024x534-1582863953589386125347.jpg|Taylor Swift gây tranh cãi khi cải trang nam nhi, cà khịa đàn ông - Ảnh 2.&&https://nld.mediacdn.vn/thumb_w/684/2020/2/28/mh-tswift-transformation-1582835055-15828639177371766333466.jpg|Taylor Swift gây tranh cãi khi cải trang nam nhi, cà khịa đàn ông - Ảnh 3.&&https://nld.mediacdn.vn/thumb_w/684/2020/2/28/25276874-8051427-image-a-641582817780010-1582863911015297691728.jpg|Taylor Swift gây tranh cãi khi cải trang nam nhi, cà khịa đàn ông - Ảnh 4.&&https://nld.mediacdn.vn/thumb_w/684/2020/2/28/25274830-8051427-image-a-21582829490306-15828639110131508157618.jpg|Taylor Swift gây tranh cãi khi cải trang nam nhi, cà khịa đàn ông - Ảnh 5.&&https://nld.mediacdn.vn/thumb_w/684/2020/2/28/25274826-8051427-thearrogantcharacterislaterawardedwiththeworldsbestda-m-611582815568941-1582863911011990124945.jpg|Taylor Swift gây tranh cãi khi cải trang nam nhi, cà khịa đàn ông - Ảnh 6.&&https://nld.mediacdn.vn/thumb_w/684/2020/2/28/25274822-8051427-itsdespiteignoringhisdaughterduringatriptothepark-a-61582829490358-1582863911007473522672.jpg|Taylor Swift gây tranh cãi khi cải trang nam nhi, cà khịa đàn ông - Ảnh 7.&&https://nld.mediacdn.vn/thumb_w/684/2020/2/28/25274816-8051427-thetenniscourtscenewhichfeaturesatongueincheekgeneric-a-681582818204782-1582863911004687690969.jpg|Taylor Swift gây tranh cãi khi cải trang nam nhi, cà khịa đàn ông - Ảnh 8.&&https://nld.mediacdn.vn/thumb_w/684/2020/2/28/25279120-8051427-image-a-51582829490327-1582863911016563178507.jpg|Taylor Swift gây tranh cãi khi cải trang nam nhi, cà khịa đàn ông - Ảnh 9.","Taylor Swift hóa trang hoàn hảo biến cô thành một người đàn ông xấu tính nhằm
giễu nhại thói xấu của nam giới cũng như lên án sự phân biệt giới tính trong
ngành công nghiệp giải trí. Ca sĩ này muốn nâng cao nữ quyền và gửi gắm nhiều
thông điệp khác.

Trong video ca nhạc, ""người đàn ông"" Taylor Swift tóc ngắn, râu ria, là giám
đốc điều hành một công ty, tính tình thô lỗ, quát nạt ra lệnh nhân viên nhưng
vẫn muốn được tâng bốc, khen ngợi là sếp tốt.

![Taylor Swift gây tranh cãi khi cải trang nam nhi, cà khịa đàn ông - Ảnh
1.](https://nld.mediacdn.vn/thumb_w/684/2020/2/28/25274814-8051427-image-a-521582815051831-15828639110011504403093.jpg)

Khó ai nghĩ rằng đây là Taylor Swift

![Taylor Swift gây tranh cãi khi cải trang nam nhi, cà khịa đàn ông - Ảnh
2.](https://nld.mediacdn.vn/thumb_w/684/2020/2/28/728b2460-taylor-swift-fi-
website-1024x534-1582863953589386125347.jpg)

Mỹ nhân làng nhạc hóa thân thành nam nhi

![Taylor Swift gây tranh cãi khi cải trang nam nhi, cà khịa đàn ông - Ảnh
3.](https://nld.mediacdn.vn/thumb_w/684/2020/2/28/mh-tswift-
transformation-1582835055-15828639177371766333466.jpg)

Cô ""lột xác"" trong video ca nhạc thể hiện sự sáng tạo của mình

Cảnh này được xây dựng hệt như cảnh trong phim ""Sói già phố Wall"" mà Leonardo
DiCaprio thủ diễn. Taylor Swift như hóa thân thành nhân vật của Leonardo
DiCaprio. Ngoài cảnh ở văn phòng, Taylor Swift còn mô phỏng lại cảnh nhân vật
Jordan Belfort của Leonardo DiCaprio bật sâm-panh trên du thuyền đầy các cô
gái diện bikini.

Một số cảnh khác, Taylor Swift hút xì-gà trên tàu điện ngầm, đến câu lạc bộ
thoát y, nhận giải ""Người cha vĩ đại"" nhưng làm ngơ con gái trong chuyến đi
chơi công viên. Về già, nhân vật của Taylor Swift cưới phụ nữ trẻ hơn mình.

Để lên án nạn phân biệt giới tính, Taylor Swift lấy cảm hứng từ vụ Serena
Williams với Naomi Osaka. Serena Williams chỉ trích trọng tài chính ở trận
chung kết đơn nữ Giải Mỹ mở rộng 2018 cho rằng phân biệt giới tính. Trong khi
đó, Naomi Osaka bị phạt chỉ vì cô cởi, đổi lại áo mặc ngược ngay trên sân đấu.

![Taylor Swift gây tranh cãi khi cải trang nam nhi, cà khịa đàn ông - Ảnh
4.](https://nld.mediacdn.vn/thumb_w/684/2020/2/28/25276874-8051427-image-a-641582817780010-1582863911015297691728.jpg)

Cô giễu nhại tính xấu của đàn ông

![Taylor Swift gây tranh cãi khi cải trang nam nhi, cà khịa đàn ông - Ảnh
5.](https://nld.mediacdn.vn/thumb_w/684/2020/2/28/25274830-8051427-image-a-21582829490306-15828639110131508157618.jpg)

Với những cảnh mô phỏng từ nhân vật trong ""Sói già phố Wall"" mà Leonardo
DiCaprio thủ diễn

![Taylor Swift gây tranh cãi khi cải trang nam nhi, cà khịa đàn ông - Ảnh
6.](https://nld.mediacdn.vn/thumb_w/684/2020/2/28/25274826-8051427-thearrogantcharacterislaterawardedwiththeworldsbestda-m-611582815568941-1582863911011990124945.jpg)

Nhận giải người cha vĩ đại

![Taylor Swift gây tranh cãi khi cải trang nam nhi, cà khịa đàn ông - Ảnh
7.](https://nld.mediacdn.vn/thumb_w/684/2020/2/28/25274822-8051427-itsdespiteignoringhisdaughterduringatriptothepark-a-61582829490358-1582863911007473522672.jpg)

Nhưng làm ngơ con gái mình

![Taylor Swift gây tranh cãi khi cải trang nam nhi, cà khịa đàn ông - Ảnh
8.](https://nld.mediacdn.vn/thumb_w/684/2020/2/28/25274816-8051427-thetenniscourtscenewhichfeaturesatongueincheekgeneric-a-681582818204782-1582863911004687690969.jpg)

Nhiều thông điệp nữ quyền cài cắm trong video

Taylor Swift còn giễu nhại Kanye West bằng mô phỏng lại một số cảnh trong
video ca nhạc ""Famous"" của ca sĩ này. Taylor Swift và vợ chồng Kanye West bất
hòa lâu nay ai cũng biết rõ. Cô tiếp tục ""cà khịa"" một số người khác và không
ngại khơi gợi lại những vụ bản thân bị chỉ trích, chê bai.

Những sáng tạo của Taylor Swift được người hâm mộ cô khen ngợi. Họ bày tỏ sự
bất ngờ khi biết nhân vật nam trong video ca nhạc là do Taylor Swift hóa
trang. Họ công nhận cô luôn sáng tạo cái mới trong âm nhạc của mình.

Tuy nhiên, bên cạnh những ngợi khen, một số ý kiến khán giả cho rằng nữ ca sĩ
này đang dần trở nên rất khó chịu.

""Tôi muốn thích cô ấy nhưng cô ấy đang làm mọi thứ trở nên khó chịu. Âm nhạc
cần mang đến sự vui vẻ, thoải mái chứ không cần thể hiện rằng tất cả những gì
cô ấy nói hoặc làm đều là một ""tuyên bố"" lớn lao. Cô ấy đã trở nên cường điệu
trong chính âm nhạc của mình"" - một khán giả nhận xét.

![Taylor Swift gây tranh cãi khi cải trang nam nhi, cà khịa đàn ông - Ảnh
9.](https://nld.mediacdn.vn/thumb_w/684/2020/2/28/25279120-8051427-image-a-51582829490327-1582863911016563178507.jpg)

Tuy nhiên, Taylor Swift không thể thuyết phục được hết mọi người vì vẫn có
những ý kiến trái chiều cho rằng cô chỉ nên tạo ra âm nhạc vui vẻ, thoải mái
hơn là dùng để đưa các tuyên bố cá nhân mang tính rao giảng vào

Minh Khuê (Theo Daily Mail)

[

Chia sẻ

](javascript:;)

[ ![](https://nld.mediacdn.vn/web_images/icon-print-3.png)
](/Print.aspx?NewsID=20200228113004791 ""Print"")

"
28/02/2020,Dời kỳ thi đánh giá năng lực để học sinh ôn tập tốt hơn,https://nld.com.vn/giao-duc-khoa-hoc/doi-ky-thi-danh-gia-nang-luc-de-hoc-sinh-on-tap-tot-hon-20200227214942595.htm,"##  ĐHQG TP HCM ngày 27-2 đã thông báo dời ngày tổ chức kỳ thi đánh giá năng
lực 2020; các trường ĐH khác cũng thông báo dời - do ảnh hưởng của dịch
Covid-19.

","Huy Lân

",,https://nld.mediacdn.vn/thumb_w/684/2020/2/27/12-phu-15828149453491702459949.jpg|Dời kỳ thi đánh giá năng lực để học sinh ôn tập tốt hơn - Ảnh 1.,"Năm 2020, ĐHQG TP HCM có kế hoạch tổ chức 2 đợt của kỳ thi đánh giá năng lực,
đợt 1 vào 29-3; đợt 2 vào ngày 5-7. Tuy nhiên, do ảnh hưởng của dịch bệnh
Covid-19, kỳ thi chính thức dời đến 31-5 (đợt 1) và ngày 9-8 (đợt 2).  

TS Nguyễn Quốc Chính, Giám đốc Trung tâm Khảo thí và Đánh giá Chất lượng đào
tạo - ĐHQG TP HCM, cho biết nếu tổ chức thi như kế hoạch đã định từ trước thì
học sinh chưa học được gì nhiều, vì thế sẽ không mang lại hiệu quả. Do vậy,
ĐHQG phải điều chỉnh thời gian tổ chức thi, sự điều chỉnh này sẽ giúp các em
có thời gian ôn tập tốt hơn và chuẩn bị tâm lý thoải mái nhất khi tham dự kỳ
thi.

Nhiều trường ĐH khác cũng quyết định dời kỳ thi đánh giá năng lực do trường tổ
chức. PGS-TS Hồ Thanh Phong, Hiệu trưởng Trường ĐH Quốc tế Hồng Bàng, cũng cho
hay trường sẽ dời lịch thi đánh giá năng lực. Theo thông báo trước đây, trường
tổ chức 3 đợt thi vào tháng 5, tháng 7 và 8.

TS Nguyễn Quốc Anh, Phó Hiệu trưởng Trường ĐH Công nghệ TP HCM, cho biết theo
kế hoạch ban đầu, kỳ thi đánh giá năng lực do trường tổ chức diễn ra vào ngày
12-7. Tuy nhiên, với những thay đổi thời gian kỳ thi THPT quốc gia 2020 do Bộ
GD-ĐT vừa công bố, trường dự kiến cũng sẽ dời lịch thi khoảng gần 1 tháng sau
kỳ thi THPT quốc gia bởi lý do là nội dung kỳ thi chủ yếu tập trung vào kiến
thức ở lớp 12, thi theo lịch cũ thì học sinh chưa hoàn thành chương trình, sẽ
bất lợi cho các em.

![Dời kỳ thi đánh giá năng lực để học sinh ôn tập tốt hơn - Ảnh
1.](https://nld.mediacdn.vn/thumb_w/684/2020/2/27/12-phu-15828149453491702459949.jpg)

Thí sinh thi đánh giá năng lực vào ĐHQG TP HCM năm 2019. Ảnh: TẤN THẠNH

Theo TS Nguyễn Quốc Chính, kết quả thi đánh giá năng lực của ĐHQG TP HCM là
một trong những phương thức xét tuyển vào các đơn vị thành viên. Năm 2020,
ĐHQG TP HCM dành dự kiến tối đa 50% chỉ tiêu xét tuyển bằng hình thức thi đánh
giá năng lực. Do vậy, kỳ thi đánh giá năng lực không phải là kỳ thi bắt buộc
để tuyển sinh vào ĐHQG TP HCM. Nhưng nếu thí sinh tham gia kỳ thi đánh giá
năng lực thì thí sinh sẽ có thêm cơ hội để xét tuyển vào các đơn vị thành viên
ĐHQG TP HCM. Ngoài ra, kết quả thi đánh giá năng lực của ĐHQG TP HCM cũng được
nhiều trường ĐH, CĐ ngoài ĐHQG TP HCM sử dụng để tuyển sinh. Đến thời điểm
hiện tại, đã có hơn 50 trường ĐH, CĐ phía Nam thông báo sử dụng kết quả kỳ thi
này để xét tuyển.

Cũng theo TS Nguyễn Quốc Chính, bài thi đánh giá năng lực chú trọng đánh giá
các năng lực cơ bản để học ĐH của thí sinh, thông qua một bài thi tổng hợp gồm
120 câu hỏi, thời gian làm bài 150 phút. Về hình thức, đề thi sử dụng các câu
hỏi trắc nghiệm khách quan đa lựa chọn (MCQ - Multiple Choice Questions). Về
nội dung, đề thi tích hợp đầy đủ cả về mặt kiến thức lẫn tư duy dưới hình thức
cung cấp số liệu, dữ kiện và các công thức cơ bản, đánh giá khả năng suy luận
và giải quyết vấn đề, không đánh giá khả năng học thuộc lòng.

Huy Lân

[

Chia sẻ

](javascript:;)

[ ![](https://nld.mediacdn.vn/web_images/icon-print-3.png)
](/Print.aspx?NewsID=20200227214942595 ""Print"")

"
02/08/2020,Chuẩn bị cắt điện 2 công ty gây ô nhiễm,https://nld.com.vn/ban-doc/chuan-bi-cat-dien-2-cong-ty-gay-o-nhiem-20200207200918902.htm,"##  Đây là 2 công ty hoạt động tái chế nhựa, thuê nhà xưởng tại ấp 1, xã Vĩnh
Lộc B, huyện Bình Chánh - TP HCM.

","

",,https://nld.mediacdn.vn/thumb_w/684/2020/2/7/6-hinh-tin-1581080921426644991765.jpg|Chuẩn bị cắt điện 2 công ty gây ô nhiễm - Ảnh 1.,"Phản hồi bài viết ""Choáng với nơi ô nhiễm nhất TP HCM"" đăng trên Báo Người Lao
Động số ra ngày 12-12-2019, ông Lôi Đại Phong - Chủ tịch UBND xã Vĩnh Lộc B,
huyện Bình Chánh, TP HCM - cho biết do chủ khu đất không hợp tác, tiếp tục cho
2 công ty gây ô nhiễm thuê nhà xưởng để hoạt động nên UBND xã Vĩnh Lộc B sẽ áp
dụng biện pháp đề xuất ngành điện ngừng cấp điện đối với 2 công ty này  

Đây là 2 công ty hoạt động tái chế nhựa, thuê nhà xưởng của ông N.V.K tại ấp
1, xã Vĩnh Lộc B, huyện Bình Chánh (phía sau khu tái định cư Vĩnh Lộc B), cả 2
đều có giấy đăng ký kinh doanh do Sở Kế hoạch và Đầu tư TP HCM cấp vào năm
2018 nhưng không có hồ sơ pháp lý về bảo vệ môi trường theo quy định. Trước
đây, 2 công ty này hoạt động với quy mô nhỏ, thủ công nhưng dần mở rộng, cơ
giới hóa, quá trình hoạt động phát sinh ô nhiễm nên địa phương đưa vào danh
sách vận động di dời khỏi khu dân cư năm 2019.  

![Chuẩn bị cắt điện 2 công ty gây ô nhiễm - Ảnh
1.](https://nld.mediacdn.vn/thumb_w/684/2020/2/7/6-hinh-
tin-1581080921426644991765.jpg)

Tại khu vực nhà xưởng của 2 công ty tái chế nhựa chất đầy rác ni-lông, khói từ
lò đốt tỏa ra như sương mù

Hai công ty tái chế nhựa này nằm dọc kênh T17 (giáp đường Trần Hải Phụng) gồm
Công ty TNHH Sản xuất nhựa Phú Quý và Công ty TNHH Tái chế nhựa Nguyễn Long.
Khi hoạt động, những cột khói đen của 2 công ty này thay nhau phả lên bầu trời
tạo thành một mảng màu xám xịt. Trong bán kính 500 m bao phủ bụi mù, không khí
đặc quánh mùi khét của nhựa cháy. Nhiều cư dân nơi đây cho biết họ đã chịu
đựng quá lâu nên không thể chịu đựng được nữa và yêu cầu chính quyền phải có
giải pháp triệt để.Tin-ảnh: T.Hồng

[

Chia sẻ

](javascript:;)

[ ![](https://nld.mediacdn.vn/web_images/icon-print-3.png)
](/Print.aspx?NewsID=20200207200918902 ""Print"")

"
27/02/2020,Lộ tin nhắn tài tử Johnny Depp muốn dìm chết rồi đốt xác vợ cũ,https://nld.com.vn/van-nghe/lo-tin-nhan-tai-tu-johnny-depp-muon-dim-chet-roi-dot-xac-vo-cu-20200227115737481.htm,"##  (NLĐO) - Trong phiên tòa xử vụ Johnny Depp kiện tờ The Sun với bài báo gọi
anh là kẻ bạo hành vợ, bất ngờ lộ nhiều tin nhắn ám chỉ tài tử này muốn mưu
sát vợ cũ Amber Heard.

","Minh Khuê (Theo Daily Mail, Reuters)

",,https://nld.mediacdn.vn/thumb_w/684/2020/2/27/25221878-8046849-johhnydepp55arrivedatcourtisseenarrivingatcourttoday-a-171582722119765-1582779263090356996624.jpg|Lộ tin nhắn tài tử Johnny Depp muốn dìm chết rồi đốt xác vợ cũ  - Ảnh 1.&&https://nld.mediacdn.vn/thumb_w/684/2020/2/27/25221884-8046849-thepiratesofthecaribbeanstarwasseenarrivingwithhisleg-a-181582722129259-15827792630931320667558.jpg|Lộ tin nhắn tài tử Johnny Depp muốn dìm chết rồi đốt xác vợ cũ  - Ảnh 2.&&https://nld.mediacdn.vn/thumb_w/684/2020/2/27/25238178-8046849-image-m-171582744954164-15827792630951529167941.jpg|Lộ tin nhắn tài tử Johnny Depp muốn dìm chết rồi đốt xác vợ cũ  - Ảnh 3.&&https://nld.mediacdn.vn/thumb_w/684/2020/2/27/johnny-depp-amber-heard-825x580-15827792630982095627037.jpg|Lộ tin nhắn tài tử Johnny Depp muốn dìm chết rồi đốt xác vợ cũ  - Ảnh 4.,"Tòa án Tối cao London - Anh ngày 26-2 (giờ địa phương) xử vụ Johnny Depp khởi
kiện phía The Sun. Ngôi sao được khắc tên trên đại lộ danh vọng Hollywood này
và đại diện pháp lý của mình mong muốn được bồi thường tổn thất khi The Sun và
biên tập Dan Wootton đã đăng bài báo khẳng định anh ngược đãi vợ cũ Amber
Heard.

Trong phiên điều trần này, 70.000 tin nhắn bằng văn bản được tuyên bố là do
đội ngũ pháp lý cũ của Johnny Depp vô tình bị lộ cho phía bị đơn trong lúc
trao đổi với nhóm pháp lý của The Sun. Adam Wolanski QC - đại diện từ phía
công ty mẹ của The Sun, cung cấp các tin nhắn và nhận định chúng rất tai hại
trong trường hợp của Johnny Depp. Chúng được xem như bằng chứng tố cáo Johnny
Depp từng bạo hành vợ cũ.

![Lộ tin nhắn tài tử Johnny Depp muốn dìm chết rồi đốt xác vợ cũ  - Ảnh
1.](https://nld.mediacdn.vn/thumb_w/684/2020/2/27/25221878-8046849-johhnydepp55arrivedatcourtisseenarrivingatcourttoday-a-171582722119765-1582779263090356996624.jpg)

![Lộ tin nhắn tài tử Johnny Depp muốn dìm chết rồi đốt xác vợ cũ  - Ảnh
2.](https://nld.mediacdn.vn/thumb_w/684/2020/2/27/25221884-8046849-thepiratesofthecaribbeanstarwasseenarrivingwithhisleg-a-181582722129259-15827792630931320667558.jpg)

![Lộ tin nhắn tài tử Johnny Depp muốn dìm chết rồi đốt xác vợ cũ  - Ảnh
3.](https://nld.mediacdn.vn/thumb_w/684/2020/2/27/25238178-8046849-image-m-171582744954164-15827792630951529167941.jpg)

Johnny Depp đến tòa án cùng đội ngũ pháp lý của mình

Adam Wolanski QC đọc trước tòa tin nhắn Johnny Depp gửi bạn thân là nam diễn
viên Paul Bettany vào tháng 11-2013: ""Chúng ta hãy thiêu cháy Amber. Chúng ta
hãy dìm cô ấy trước khi đốt cháy. Tôi sẽ tìm xác cháy rụi của cô ấy sau đó để
chắc chắn cô ấy chết"".

Một tin nhắn khác vào tháng 5-2014 Johnny Depp gửi cho Paul Bettany: ""Tôi sẽ
dừng việc uống say lại... Tôi đã uống suốt đêm trước khi đưa Amber lên chuyến
bay tới Los Angeles vào chủ nhật tuần trước. Tôi không ăn gì trong nhiều
ngày... Một cơn giận dữ trong sự loạn trí, tôi hét lên những lời xúc phạm bất
cứ ai đến gần. Tôi thừa nhận đã quá điên khi nổi giận với người mình yêu vì lý
do rất nhỏ...!"".

Đại diện từ phía công ty mẹ của The Sun cho biết tin nhắn được gửi ở thời điểm
Johnny Depp bị Amber Heard tố đã la hét, phỉ báng, đánh đập cô trong suốt
chuyến bay do say xỉn. Tuy nhiên, Johnny Depp bác bỏ, khẳng định không say xỉn
trong chuyến bay cũng như không bạo hành vợ cũ.

Trong một tin nhắn khác mà Johnny Depp gửi Amber Heard vào năm 2013 sau khi cả
hai xô xát vì tranh cãi, tài tử này mô tả đêm đó là ""một cuộc tắm máu"",
""khoảnh khắc kinh dị"".

David Sherborne - đại diện từ phía Johnny Depp, cho rằng trong tất cả bằng
chứng công bố tại phiên tòa thì không có bằng chứng thuyết phục nào cho thấy
tài tử này bạo hành vợ cũ.

""Không có bất kỳ bằng chứng nào, tin nhắn hoặc thư điện tử, tài liệu nào chứng
tỏ ngài Johnny Depp đánh người. Chúng tôi không thấy có văn bản nào ngài
Johnny Depp nói ""tôi đã đánh cô Heard"" hoặc đơn giản ""tôi đánh cô ấy vài lần"".
Nó không giống với đoạn ghi âm Amber Heard thừa nhận đánh ngài ấy mà chúng tôi
đã tìm thấy trước đó"" - David Sherborne nhận định.

Phiên điều trần tiếp theo là ngày 23-3 và dự kiến kéo dài 10 ngày với các nhân
chứng hai bên đưa ra.

![Lộ tin nhắn tài tử Johnny Depp muốn dìm chết rồi đốt xác vợ cũ  - Ảnh
4.](https://nld.mediacdn.vn/thumb_w/684/2020/2/27/johnny-depp-amber-
heard-825x580-15827792630982095627037.jpg)

Cuộc chiến pháp lý của Johnny Depp và vợ cũ vẫn chưa kết thúc

Johnny Depp và Amber Heard kết hôn tháng 2-2015 và ly hôn tháng 5-2016. Amber
Heard cáo buộc chồng bạo hành trong khi Johnny Depp nói mình mới là người bị
bạo hành.

Vào đầu tháng 2, một đoạn ghi âm Amber Heard thừa nhận đánh Johnny Depp. Trong
đoạn ghi âm, nữ diễn viên này nói: ""Tôi xin lỗi vì đã đánh anh như vậy nhưng
tôi không đấm anh mà. Anh vẫn ổn, tôi không hề làm gì tổn thương đến anh, tôi
không đấm anh cơ mà?..."". Amber Heard còn la hét, gào thét khi nói chuyện cùng
Johnny Depp.

Đoạn ghi âm được công bố gây hoang mang cho công chúng, người hâm mộ cặp đôi
này cũng phát ngán vì những tố cáo qua lại của cả hai. Johnny Depp vẫn đang
kiện vợ cũ tội phỉ báng, đòi bồi thường 50 triệu USD song song với vụ kiện The
Sun.

Minh Khuê (Theo Daily Mail, Reuters)

[

Chia sẻ

](javascript:;)

[ ![](https://nld.mediacdn.vn/web_images/icon-print-3.png)
](/Print.aspx?NewsID=20200227115737481 ""Print"")

"
13/02/2020,Đức Phúc chưa yêu nhưng hát tình ca khó ai qua mặt,https://nld.com.vn/van-nghe/duc-phuc-chua-yeu-nhung-hat-tinh-ca-kho-ai-qua-mat-20200213084524564.htm,"##  (NLĐO)- Sau 22 giờ ra mắt, MV ""Hơn cả yêu"" của Đức Phúc đã đứng vị trí
hàng đầu trong tìm kiếm trên YouTube Việt Nam.

","Thùy Trang

",,https://nld.mediacdn.vn/thumb_w/684/2020/2/13/8513282627649609169447362728539933705764864o-158150263218876315884-1581557908644262927482.jpg|Đức Phúc chưa yêu nhưng hát tình ca khó ai qua mặt - Ảnh 1.&&https://nld.mediacdn.vn/thumb_w/684/2020/2/13/screen-shot-2020-02-11-at-74457-pm-1581425296657171356843-15814816450041275491116-1581557908663373485380.png|Đức Phúc chưa yêu nhưng hát tình ca khó ai qua mặt - Ảnh 2.&&https://nld.mediacdn.vn/thumb_w/684/2020/2/13/screen-shot-2020-02-11-at-74449-pm-15814252966601746315610-1581481645002422133072-1581557908660170350787.png|Đức Phúc chưa yêu nhưng hát tình ca khó ai qua mặt - Ảnh 3.&&https://nld.mediacdn.vn/thumb_w/684/2020/2/13/screen-shot-2020-02-11-at-74437-pm-15814252966631651189058-158148164500194968179-15815579086572089905929.png|Đức Phúc chưa yêu nhưng hát tình ca khó ai qua mặt - Ảnh 4.&&https://nld.mediacdn.vn/thumb_w/684/2020/2/13/screen-shot-2020-02-11-at-74427-pm-1581425296665854420703-15814816449981011301605-15815579086531427193903.png|Đức Phúc chưa yêu nhưng hát tình ca khó ai qua mặt - Ảnh 5.,"![Đức Phúc chưa yêu nhưng hát tình ca khó ai qua mặt - Ảnh
1.](https://nld.mediacdn.vn/thumb_w/684/2020/2/13/8513282627649609169447362728539933705764864o-158150263218876315884-1581557908644262927482.jpg)

Nhều cặp đôi xuất hiện trong MV ""Hơn cả yêu"" của Đức Phúc

""Hơn cả yêu"" tiếp tục là một sản phẩm âm nhạc mà Đức Phúc kết hợp với nhạc sĩ
trẻ Khắc Hưng.

Qua những ca từ đong đầy yêu thương, Đức Phúc như một người dẫn dắt khán giả
đi qua những cây chuyện tình.

Đó là tình yêu của những cặp đôi nổi tiếng như vợ chồng Lưu Hương Giang - Hồ
Hoài Anh, Ông Cao Thắng - Đông Nhi, Trường Giang - Nhã Phương, Á hậu Hoàng
Oanh - Jack.

Đó là chuyện tình đẹp của người khuyết tật, người lớn tuổi, tình yêu đồng
giới.

Đặc biệt, MV có sự xuất hiện của gia đình Đức Phúc, Erik và Hòa Minzy.

Suốt cả MV dài hơn 5 phút, Đức Phúc xuất hiện khá ít, thay vào đó là rất nhiều
khoảnh khắc ngọt ngào của các cặp đôi. Trước khi chính thức ra mắt MV này,
video Đức Phúc hát live ""Hơn cả yêu"" trong đám cưới của cầu thủ Duy Mạnh và cô
dâu Quỳnh Anh đã được chia sẻ ""chóng mặt"" trên Facebook.  

![Đức Phúc chưa yêu nhưng hát tình ca khó ai qua mặt - Ảnh
2.](https://nld.mediacdn.vn/thumb_w/684/2020/2/13/screen-
shot-2020-02-11-at-74457-pm-1581425296657171356843-15814816450041275491116-1581557908663373485380.png)

![Đức Phúc chưa yêu nhưng hát tình ca khó ai qua mặt - Ảnh
3.](https://nld.mediacdn.vn/thumb_w/684/2020/2/13/screen-
shot-2020-02-11-at-74449-pm-15814252966601746315610-1581481645002422133072-1581557908660170350787.png)

![Đức Phúc chưa yêu nhưng hát tình ca khó ai qua mặt - Ảnh
4.](https://nld.mediacdn.vn/thumb_w/684/2020/2/13/screen-
shot-2020-02-11-at-74437-pm-15814252966631651189058-158148164500194968179-15815579086572089905929.png)

![Đức Phúc chưa yêu nhưng hát tình ca khó ai qua mặt - Ảnh
5.](https://nld.mediacdn.vn/thumb_w/684/2020/2/13/screen-
shot-2020-02-11-at-74427-pm-1581425296665854420703-15814816449981011301605-15815579086531427193903.png)

Hình ảnh trong MV

Đức Phúc chia sẻ đến nay, anh vẫn chưa có mối tình vắt vai nào. Nhưng ""Hơn cả
yêu"" không phải là bản tình ca duy nhất của Đức Phúc chiếm trọn trái tim người
yêu nhạc. Những ca khúc trước đây của Đức Phúc cũng rất được yêu thích như
""Ánh nắng của anh"", ""Hết thương cạn nhớ"", ""Anh ở đây mà"", ""Yêu được không"",…

Hơn cả yêu của Đức Phúc

Thùy Trang

[

Chia sẻ

](javascript:;)

[ ![](https://nld.mediacdn.vn/web_images/icon-print-3.png)
](/Print.aspx?NewsID=20200213084524564 ""Print"")

"
