date,title,original_link,subhead,author,source,pic_list,body
16/07/2019,"Sao phim ""Ngôi nhà cà phê"" nhận tất cả cáo buộc cưỡng hiếp",https://nld.com.vn/van-nghe/sao-phim-ngoi-nha-ca-phe-nhan-tat-ca-cao-buoc-cuong-hiep-20190716111404468.htm,"##  (NLĐO) - Nam diễn viên Kang Ji Hwan, sao phim ""Ngôi nhà cà phê"" chính thức
thừa nhận tất cả các cáo buộc cưỡng hiếp, quấy rối tình dục

","M.Khuê (Theo Soompi, Allkpop)

",,https://nld.mediacdn.vn/thumb_w/684/2019/7/16/kang1-15627217033901856217929-crop-1562721749433206463815-15627281585081215707836-1563250246581354351276.jpg|Sao phim Ngôi nhà cà phê nhận tất cả cáo buộc cưỡng hiếp - Ảnh 1.&&https://nld.mediacdn.vn/thumb_w/684/2019/7/16/imagepng-1563250246578233369094.jpg|Sao phim Ngôi nhà cà phê nhận tất cả cáo buộc cưỡng hiếp - Ảnh 2.&&https://nld.mediacdn.vn/thumb_w/684/2019/7/16/20190712-kangjihwanjpg-1562930299074281774117-15632502465731141898548.jpg|Sao phim Ngôi nhà cà phê nhận tất cả cáo buộc cưỡng hiếp - Ảnh 3.,"Ngày 15-7, đội ngũ pháp lý của Kang Ji Hwan thay mặt anh ra thông cáo nội dung
như sau: ""Tôi là Kang Ji Hwan. Tôi thừa nhận tất cả các cáo buộc, cúi đầu xin
lỗi chân thành đến các nạn nhân. Tôi đã làm tổn thương họ rất nhiều với những
hành động sai trái không thể khắc phục của mình. Tôi cũng muốn xin lỗi người
hâm mộ, những người quan tâm đến mình thời gian qua. Tôi sẽ chấp nhận hình
phạt cho tội lỗi của mình và chuộc tội"".

Kang Ji Hwan, nam diễn viên 42 tuổi, bị cảnh sát bắt tại nhà riêng ở Gwangju
tối 9-7 với cáo buộc cưỡng hiếp, quấy rối 2 nữ nhân viên của công ty quản lý
diễn viên này.

![Sao phim Ngôi nhà cà phê nhận tất cả cáo buộc cưỡng hiếp - Ảnh
1.](https://nld.mediacdn.vn/thumb_w/684/2019/7/16/kang1-15627217033901856217929-crop-1562721749433206463815-15627281585081215707836-1563250246581354351276.jpg)

Kang Ji Hwan thừa nhận cáo buộc

Theo thông tin các báo Hàn Quốc đăng tải, Kang Ji Hwan về nhà riêng cùng 2 nữ
nhân viên của công ty quản lý (tạm gọi họ là ""A"" và ""B"") để uống rượu chung
sau buổi ăn tối ở công ty.

Đến khuya, Kang Ji Hwan bị tố lẻn vào phòng của hai phụ nữ đang ngủ, cưỡng
hiếp ""A"" và quấy rối ""B"". Khoảng 21 giờ, ""A"" nhắn tin cho một người bạn ở
Seoul rằng: ""Chúng tôi uống rượu tại nhà Kang Ji Hwan và giờ kẹt ở đây"". ""A""
nhờ bạn mình báo cảnh sát.

Khi cảnh sát đến nhà Kang Ji Hwan, ""A"" nói cô đang ngủ thì bị tài tử này cưỡng
hiếp. Tại đồn cảnh sát, Kang Ji Hwan khai: ""Tôi nhớ có uống rượu nhưng không
nhớ mọi thứ sau đó. Khi tôi mở mắt ra đã ở trong phòng hai cô gái và ""A"" thì
đang ngủ say"".

![Sao phim Ngôi nhà cà phê nhận tất cả cáo buộc cưỡng hiếp - Ảnh
2.](https://nld.mediacdn.vn/thumb_w/684/2019/7/16/imagepng-1563250246578233369094.jpg)

Anh đối mặt án tù vì hành vi của mình

Ngay trong phiên điều trần đầu tiên, Kang Ji Hwan cũng ra thông cáo gửi lời
xin lỗi đến nạn nhân vì phải chịu nhiều chỉ trích từ cộng đồng mạng.

Vai diễn của Kang Ji Hwan trong phim ""Joseon Survival"" đã bị loại bỏ, thay vào
đó là nam diễn viên Seo Ji Suk. Sau bê bối này, Kang Ji Hwan sẽ phải mất rất
nhiều thời gian mới có thể quay lại làng giải trí.

![Sao phim Ngôi nhà cà phê nhận tất cả cáo buộc cưỡng hiếp - Ảnh
3.](https://nld.mediacdn.vn/thumb_w/684/2019/7/16/20190712-kangjihwanjpg-1562930299074281774117-15632502465731141898548.jpg)

Sự nghiệp tài tử này phủ đen

Kang Ji Hwan là tài tử nổi tiếng, tham gia nhiều phim điện ảnh lẫn truyền
hình: ""Tứ hải huynh đệ"", ""Giai thoại về Hong Gil Dong"", ""Ngôi nhà cà phê"",
""Lời nói dối định mệnh"", ""Pháo hoa""...

M.Khuê (Theo Soompi, Allkpop)

[

Chia sẻ

](javascript:;)

[ ![](https://nld.mediacdn.vn/web_images/icon-print-3.png)
](/Print.aspx?NewsID=20190716111404468 ""Print"")

"
07/02/2019,"Hoa hậu Trần Tiểu Vy làm Đại sứ ""Lễ hội Hang động"" Quảng Bình năm 2019",https://nld.com.vn/van-nghe/hoa-hau-tran-tieu-vy-lam-dai-su-le-hoi-hang-dong-quang-binh-nam-2019-20190702161757926.htm,"##  (NLĐO) - Lễ hội Hang động Quảng Bình năm 2019 với chủ đề ""Quảng Bình - Bí
ẩn bất tận"" với các chuỗi hoạt động, sự kiện du lịch và văn hóa độc đáo. Hoa
hậu Trần Tiểu Vy - được mời làm Đại sứ lễ hội này

","Hoàng Phúc

",,https://nld.mediacdn.vn/thumb_w/684/2019/7/2/received478675799534225-1562058947651503338989.jpeg|Hoa hậu Trần Tiểu Vy làm Đại sứ Lễ hội Hang động Quảng Bình năm 2019 - Ảnh 1.&&https://nld.mediacdn.vn/thumb_w/684/2019/7/2/received2361686214074485-15620589596111434955078.jpeg|Hoa hậu Trần Tiểu Vy làm Đại sứ Lễ hội Hang động Quảng Bình năm 2019 - Ảnh 2.,"Chiều 2-7, Sở Du lịch tỉnh Quảng Bình đã tổ chức họp báo giới thiệu Lễ hội
Hang động Quảng Bình năm 2019 với chủ đề ""Quảng Bình - kỳ vĩ và huyền thoại"".  

Lễ hội Hang động Quảng Bình năm 2019 với chủ đề ""Quảng Bình - Bí ẩn bất tận""
gồm chuỗi các hoạt động, sự kiện du lịch, văn hóa, nghệ thuật độc đáo gồm: lễ
công bố quy hoạch tổng thể phát triển khu du lịch quốc gia Phong Nha - Kẻ
Bàng; chương trình nghệ thuật vào tối ngày 20-7.  

![Hoa hậu Trần Tiểu Vy làm Đại sứ Lễ hội Hang động Quảng Bình năm 2019 - Ảnh
1.](https://nld.mediacdn.vn/thumb_w/684/2019/7/2/received478675799534225-1562058947651503338989.jpeg)

Hoa hậu Tiểu Vy cùng lãnh đạo UBND tỉnh, Sở Du lịch Quảng Bình trong buổi họp
báo

Lễ hội Hang động Quảng Bình năm nay được dàn dựng bởi những đạo diễn tài năng
và sự tham gia biểu diễn của các ngôi sao, nghệ sĩ, MC hàng đầu tại Việt Nam
như: ca sĩ Tùng Dương, anh em nghệ sĩ Quốc Cơ, Quốc Nghiệp... Đặc biệt, hoa
hậu Trần Tiểu Vy được vinh dự mời làm Đại sứ của lễ hội này.

Chương trình được truyền hình trực tiếp trên kênh VTV1, tiếp sóng các đài PTTH
các địa phương trong cả nước; ngoài ra sẽ thực hiện chương trình kích cầu du
lịch nội địa từ 20-7 đến 20-8 với chủ đề ""khám phá vương quốc hang động Quảng
Bình - những trải nghiệm khác biệt""; chương trình xúc tiến thị trường khách du
lịch Hàn Quốc; khai trương các sản phẩm du lịch như bay ngắm cảnh Phong Nha -
Kẻ Bàng và khai trương chính thức đường bay Đồng Hới - Đà Nẵng, khai trương
sản phẩm du lịch công viên trò chơi trên cây Ozo Toptree Park...; tổ chức biểu
diễn nghệ thuật đường phố...  

Ông Hồ An Phong, Giám đốc Sở Du lịch Quảng Bình, cho hay lễ hội hang động được
tổ chức định kỳ 2 năm/lần với mục đích tuyên truyền, quảng bá về tài nguyên,
các sản phẩm, dịch vụ du lịch Quảng Bình đến với du khách, nhà đầu tư và các
công ty lữ hành trong nước và quốc tế.  

![Hoa hậu Trần Tiểu Vy làm Đại sứ Lễ hội Hang động Quảng Bình năm 2019 - Ảnh
2.](https://nld.mediacdn.vn/thumb_w/684/2019/7/2/received2361686214074485-15620589596111434955078.jpeg)

Hoa hậu Tiểu Vy được mời làm Đại sứ Lễ hội Hang động Quảng Bình 2019

Từ đó thúc đẩy tăng trưởng khách du lịch, khẳng định thương hiệu, vị thế của
điểm đến du lịch Quảng Bình nổi bật là hệ thống hang động kỳ vĩ, chứa đựng
những giá trị nổi bật, bí ẩn chưa thể khám phá hết.

Cùng với hệ thống hang động, tài nguyên thiên nhiên phong phú, độc đáo, lễ hội
lần này muốn giới thiệu với công chúng những giá trị văn hóa, lịch sử của mảnh
đất Quảng Bình ""địa linh nhân kiệt"", nơi giao thoa và tiếp biến văn hóa.  

Ông Trần Tiến Dũng - Phó Chủ tịch UBND tỉnh Quảng Bình - nói thời gian qua
tỉnh này đã triển khai đồng bộ các giải pháp nhằm nâng cao chất lượng hạ tầng
và dịch vụ để phát triển du lịch. Lễ hội Hang động Quảng Bình năm 2019 với
nhiều hoạt động mới mẻ, hấp dẫn cho du khách khi đến vương quốc hang động
Quảng Bình và tận hưởng những trải nghiệm khác biệt, chỉ riêng có tại mảnh đất
hùng vĩ, bí ẩn bất tận.  

  
  

Hoàng Phúc

[

Chia sẻ

](javascript:;)

[ ![](https://nld.mediacdn.vn/web_images/icon-print-3.png)
](/Print.aspx?NewsID=20190702161757926 ""Print"")

"
24/07/2019,CLIP: Ông chủ mạng xã hội VietNamTa nói gì về việc Gapo bị sập,https://nld.com.vn/thoi-su/clip-ong-chu-mxh-vietnamta-noi-gi-ve-viec-gapo-bi-sap-20190724152007811.htm,"##  (NLĐO) – Trước khi quảng bá, ra mắt, mạng xã hội Việt phải chuẩn bị tốt hạ
tầng. Đó là ý kiến của ông chủ mạng xã hội VietNamTa

","NHƯ PHÚ thực hiện

",,,"Chiều 24-7, ông Diệp Quang Văn (42 tuổi, ngụ Bình Dương, người lập ra mạng xã
hội VietNamTa) trao đổi với phóng viên Báo _Người Lao Động_ xoay quanh hiện
trạng mạng xã hội Việt và lý do [Gapo](https://nld.com.vn/gapo.html ""Gapo"") bị
sập.  

Theo ông Văn, vừa qua, Bộ trưởng Bộ Thông tin và Truyền thông khuyến khích
doanh nghiệp Việt phát triển mạng xã hội riêng cho đất nước. Đề xuất này khiến
nhiều doanh nghiệp Việt tâm huyết, hăng hái. Ngay sau đó, mạng xã hội Gapo ra
mắt gây chú ý dư luận. Nhưng tiếc là mạng này đã sập chóng vánh.

Ông Diệp Quang Văn nói về hướng phát triển mạng xã hội Việt

Ông Văn cho biết ông đã ""đón gió"" chủ trương phát triển mạng xã hội Việt từ
trước. Cuối năm 2018, VietNamTa của ông đã được Bộ Thông tin và Truyền thông
cấp phép hoạt động. Khi vận hành, VietNamTa cũng rơi vào tình trạng nghẽn mạng
do cùng thời điểm người dùng đồng loạt vào mạng. Tuy nhiên sau đó, sự cố được
doanh nghiệp ông khắc phục.

Theo ông Văn, hiện Việt Nam có rất nhiều mạng xã hội nhưng chỉ có một số mạng
gần giống Facebook. Để đầu tư phát triển một mạng xã hội thì kinh phí rất lớn.
Vì vậy, doanh nghiệp Việt phải làm từng bước chứ không được nóng vội.

Ông Văn cho rằng lý do Gapo sập là vì hạ tầng công nghệ chưa chuẩn bị tốt
nhưng quảng bá mạnh trên phương tiện truyền thông khiến người dùng truy cập ồ
ạt dẫn đến quá tải.  

Ông Văn cho biết mạng xã hội VietNamTa hiện mới có 50.000 người dùng. Ông hy
vọng số này sẽ tăng cao. ""Chúng tôi đã chuẩn bị hạ tầng tốt. Nếu bây giờ người
dùng vào với số lượng lớn thì mạng vẫn không bị sập. Tuy nhiên nếu có tới hàng
chục triệu người vào cùng lúc thì sẽ lại bị nghẽn. Nếu chuyện đó có xảy ra thì
chúng tôi sẽ khắc phục nhanh vì đã có kinh nghiệm rồi. Càng nhiều người Việt
dùng càng tốt. Tại sao người Việt không dùng mạng xã hội của người Việt?"" –
ông Văn trăn trở.

NHƯ PHÚ thực hiện

[

Chia sẻ

](javascript:;)

[ ![](https://nld.mediacdn.vn/web_images/icon-print-3.png)
](/Print.aspx?NewsID=20190724152007811 ""Print"")

"
